                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.32351,                0.87583,                0.92745,                0.84375,                0.46653,                0.62924,                0.60385,                0.39041,                 3.4707,                0.62566,               0.070043,              0.0033286,              0.0033286
                      2,                0.26621,                0.55186,                0.90302,                0.90741,                0.60025,                0.83605,                0.72778,                0.73389,                 1.7458,                 0.7703,               0.039988,              0.0066069,              0.0066069
                      3,                0.23767,                0.47845,                0.89917,                0.99452,                0.98717,                  0.995,                0.95488,                0.38766,                0.39563,                0.68131,              0.0098779,              0.0098303,              0.0098303
                      4,                0.22113,                 0.4131,                0.89312,                0.99382,                0.99375,                0.99455,                0.96385,                0.23181,                 0.4455,                0.54578,              0.0097525,              0.0097525,              0.0097525
                      5,                0.19951,                0.37895,                0.89111,                0.91406,                 0.9965,                 0.9935,                0.94924,                0.31139,                0.35582,                0.58764,                0.00967,                0.00967,                0.00967
                      6,                0.19293,                0.37015,                0.88805,                0.76187,                0.79315,                0.94231,                0.91616,                0.31679,                 1.4614,                0.58746,              0.0095875,              0.0095875,              0.0095875
                      7,                0.18407,                0.35329,                0.88834,                 0.9951,                0.99264,                0.99465,                0.96468,                0.27824,                0.34508,                0.61943,               0.009505,               0.009505,               0.009505
                      8,                0.17767,                0.33691,                0.88701,                0.98161,                0.95497,                0.99373,                0.99052,                0.23173,                0.33278,                0.56231,              0.0094225,              0.0094225,              0.0094225
                      9,                0.17274,                0.31956,                0.88803,                 0.9738,                0.99636,                0.99319,                0.98175,                0.24549,                0.28553,                 0.5674,                0.00934,                0.00934,                0.00934
                     10,                0.16494,                0.32208,                0.88555,                0.80823,                0.87466,                0.95272,                0.92937,                0.30828,                0.86116,                0.55397,              0.0092575,              0.0092575,              0.0092575
                     11,                0.17255,                0.32222,                0.88617,                0.99053,                0.97449,                  0.995,                0.98565,                0.27437,                0.32236,                0.58151,               0.009175,               0.009175,               0.009175
                     12,                0.16362,                0.30301,                0.88519,                0.99901,                      1,                  0.995,                0.99036,                0.23347,                0.21994,                0.55831,              0.0090925,              0.0090925,              0.0090925
                     13,                0.16106,                0.29926,                0.88082,                0.92458,                0.84231,                0.99452,                0.98539,                0.21885,                0.60591,                0.53244,                0.00901,                0.00901,                0.00901
                     14,                0.16213,                0.30131,                0.88391,                0.98937,                0.99484,                  0.995,                0.98968,                0.26728,                0.32935,                 0.5729,              0.0089275,              0.0089275,              0.0089275
                     15,                0.15098,                0.28078,                0.88238,                0.99964,                      1,                  0.995,                0.98276,                0.22295,                0.23086,                0.55891,               0.008845,               0.008845,               0.008845
                     16,                0.14743,                0.27106,                0.88215,                 0.9912,                0.98751,                0.99499,                0.97872,                0.24321,                0.27635,                0.55844,              0.0087625,              0.0087625,              0.0087625
                     17,                0.14922,                  0.286,                  0.884,                0.95719,                      1,                0.99255,                 0.9883,                0.27351,                0.22869,                0.57206,                0.00868,                0.00868,                0.00868
